Cost,Endogeneity,Optimal,InfoRelax,Low,High,EGap,EGapLow,EGapHigh
"[10, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",680.84067705802,661.8386026261427,642.5347145535277,681.1424906987577,2.7909722600575457,-0.044329554756025846,5.626274074871118
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",461.2113088382133,439.2537401243296,426.3913905350243,452.11608971363495,4.760847857177346,1.9720286450670743,7.549667069287618
"[10, 1, 20, 5]","[1, 0.5, -0.1, -0.05]",430.8254505541441,411.3232034134441,399.21062072525115,423.43578610163706,4.526716589193007,1.7152339637786254,7.338199214607388
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",408.93931779326164,396.30436928663715,384.57903356306105,408.02970501021326,3.089687872226558,0.22243221511612532,5.956943529336991
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",353.8632983638721,350.7730145258058,340.37427552476174,361.1717535268499,0.8732987716879741,-2.0653329115422085,3.8119304549181567
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",348.3215684631865,346.8379922168007,336.56336498232656,357.1126194512749,0.4259214417675637,-2.5238319369297066,3.375674820464834
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",1003.4387370948546,947.1512702906912,919.5817185271369,974.7208220542454,5.609457231751505,2.8619500103965327,8.356964453106478
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.1]",644.6303481502536,586.2311792273373,568.9890394287904,603.4733190258842,9.059326649837505,6.384593781919845,11.734059517755165
"[10, 1, 20, 20]","[1, 0.5, -0.1, -0.05]",590.4477277242603,542.4454843693401,526.361122801627,558.5298459370532,8.129804062407562,5.405708293641293,10.85389983117383
"[10, 1, 20, 20]","[1, 0.5, 0.0, 0.0]",555.7567466130505,521.2067218980557,505.64786580370003,536.7655779924113,6.21675308946821,3.417172843402644,9.016333335533776
"[10, 1, 20, 20]","[1, 0.5, 0.2, 0.4]",441.0941609233336,427.86376621462307,414.94326649488744,440.7842659343587,2.999449070242881,0.07025597172409048,5.928642168761671
"[10, 1, 20, 20]","[1, 0.5, 0.4, 0.8]",423.1531065139295,415.65759024550744,403.1270055305947,428.18817496042016,1.7713485150026693,-1.1898928234206012,4.73258985342594
"[10, 1, 20, 80]","[1, 0.5, -0.4, -0.8]",1392.0368894281105,1275.0491090256257,1237.855804121106,1312.2424139301454,8.404071852617847,5.732209836101914,11.07593386913378
"[10, 1, 20, 80]","[1, 0.5, -0.2, -0.1]",972.8124713934859,832.1068564078727,807.5257935745342,856.6879192412111,14.4637963763008,11.936992541423164,16.99060021117844
"[10, 1, 20, 80]","[1, 0.5, -0.1, -0.05]",884.6057396029954,769.142357690386,746.2148400734515,792.0698753073206,13.05252461559073,10.460690017363472,15.644359213817989
"[10, 1, 20, 80]","[1, 0.5, 0.0, 0.0]",823.3840143681973,736.6323679827526,714.4900203756928,758.7747155898124,10.535988660407918,7.846800235484437,13.2251770853314
"[10, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",610.6978008685106,567.3703962358757,549.8514265798673,584.889365891884,7.094737294127536,4.22605664207777,9.963417946177302
"[10, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",562.3280225121922,537.422849442624,520.8740680345467,553.9716308507014,4.428940417784024,1.4860350768504706,7.371845758717578
"[100, 1, 20, 5]","[1, 0.5, -0.4, -0.8]",2092.42509987616,2034.357297728058,1975.332788731072,2093.381806725044,2.775143643208007,-0.04572239402693823,5.596009680442952
"[100, 1, 20, 5]","[1, 0.5, -0.2, -0.1]",1569.7068287081768,1448.9570449869725,1407.207912798666,1490.706177175279,7.692505473813713,5.032828429364281,10.352182518263145
"[100, 1, 20, 5]","[1, 0.5, -0.1, -0.05]",1337.8080539713694,1258.1970458368905,1221.8931780819835,1294.5009135917976,5.950854302166031,3.2371714500456057,8.664537154286457
"[100, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",1237.8281344022619,1192.506615342252,1157.9668311230353,1227.0463995614687,3.6613741278303906,0.8710203412850879,6.451727914375693
"[100, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",1115.985824518506,1102.749480155884,1070.8267552215093,1134.6722050902586,1.1860674277231873,-1.6744281299285257,4.046562985374901
"[100, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",1115.9163413030103,1102.680586250821,1070.759180380282,1134.6019921213601,1.1860884693859908,-1.674466994231083,4.046643933003065
"[100, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",2195.5840504883845,2138.476844975304,2076.437265797828,2200.5164241527805,2.6010029313328697,-0.22464973104990094,5.42665559371564
"[100, 1, 20, 20]","[1, 0.5, -0.2, -0.1]",1793.2936976228002,1645.1787011664558,1597.6029121303707,1692.7544902025409,8.259383092277996,5.606399417648918,10.912366766907075
"[100, 1, 20, 20]","[1, 0.5, -0.1, -0.05]",1583.3050648658295,1480.375906768777,1437.4463971301366,1523.3054164074174,6.500904998101223,3.7895191387830534,9.212290857419394
"[100, 1, 20, 20]","[1, 0.5, 0.0, 0.0]",1465.8602575708676,1413.9104842221664,1372.7909904612402,1455.0299779830925,3.5439785668784767,0.7388343828710107,6.349122750885943
"[100, 1, 20, 20]","[1, 0.5, 0.2, 0.4]",1301.7313639345177,1286.502463668859,1248.8437919053847,1324.1611354323334,1.1698957778530312,-1.723072218988504,4.062863774694566
"[100, 1, 20, 20]","[1, 0.5, 0.4, 0.8]",1300.2376047331295,1285.4391464888672,1247.81589004926,1323.0624029284745,1.1381349216783736,-1.75543286182912,4.031702705185867
"[100, 1, 20, 80]","[1, 0.5, -0.4, -0.8]",2199.912197176889,2187.8130353093807,2124.338582438105,2251.2874881806565,0.5499838531299115,-2.3353337042131352,3.435301410472958
"[100, 1, 20, 80]","[1, 0.5, -0.2, -0.1]",2056.37247717882,1894.4837827475337,1839.44523857782,1949.5223269172475,7.872537501250017,5.196050396869865,10.54902460563017
"[100, 1, 20, 80]","[1, 0.5, -0.1, -0.05]",1908.4022865990846,1770.8485130547388,1719.3142176292677,1822.3828084802099,7.207797565023731,4.507408040899392,9.90818708914807
"[100, 1, 20, 80]","[1, 0.5, 0.0, 0.0]",1802.0196502569963,1712.9551080358224,1663.00910881053,1762.9011072611147,4.942484517772705,2.1708166717439807,7.714152363801429
"[100, 1, 20, 80]","[1, 0.5, 0.2, 0.4]",1558.0707278873044,1530.3659984629396,1484.9043178230918,1575.8276791027874,1.778143246547687,-1.1396755550090598,4.695962048104434
"[100, 1, 20, 80]","[1, 0.5, 0.4, 0.8]",1555.962394705103,1528.1161895719533,1482.7053855659117,1573.526993577995,1.78964512432366,-1.1288575439010518,4.708147792548372
